aiohttp                   == 3.8.6
aiosignal                 == 1.3.1
altgraph                  == 0.17.4
asgiref                   == 3.7.2
async-timeout             == 4.0.3
attrs                     == 23.1.0
beautifulsoup4            == 4.12.2
bottle                    == 0.12.25
bottle-websocket          == 0.2.9
certifi                   == 2023.7.22
cffi                      == 1.16.0
charset-normalizer        == 2.1.1
click                     == 8.1.3
colorama                  == 0.4.6
contourpy                 == 1.0.6
cryptography              == 38.0.3
cv                        == 1.0.0
cx-Logging                == 3.1.0
cyber-stad-tool-v1        == 1.0
cycler                    == 0.11.0
Django                    == 4.2.6
dnspython                 == 2.4.2
Eel                       == 0.16.0
ez-setup                  == 0.9
filelock                  == 3.12.4
Flask                     == 2.2.2
fonttools                 == 4.38.0
frozenlist                == 1.4.0
future                    == 0.18.3
gevent                    == 23.9.1
gevent-websocket          == 0.10.1
greenlet                  == 3.0.0
h11                       == 0.14.0
idna                      == 3.4
iniconfig                 == 1.1.1
itsdangerous              == 2.1.2
Jinja2                    == 3.1.2
kiwisolver                == 1.4.4
lief                      == 0.13.2
markdown-it-py            == 3.0.0
MarkupSafe                == 2.1.1
matplotlib                == 3.6.2
mdurl                     == 0.1.2
MouseInfo                 == 0.1.3
multidict                 == 6.0.4
numpy                     == 1.26.0
openai                    == 0.28.1
opencv-python             == 4.8.1.78
outcome                   == 1.2.0
packaging                 == 21.3
pandas                    == 1.5.1
pefile                    == 2023.2.7
pi                        == 0.1.2
Pillow                    == 9.3.0
pip                       == 23.3.1
pluggy                    == 1.0.0
psutil                    == 5.9.6
psycopg2                  == 2.9.6
PyAutoGUI                 == 0.9.53
pycparser                 == 2.21
pycryptodome              == 3.19.0
pyfiglet                  == 1.0.2
pygame                    == 2.5.2
PyGetWindow               == 0.0.9
Pygments                  == 2.16.1
pyinstaller               == 6.0.0
pyinstaller-hooks-contrib == 2023.9
PyMsgBox                  == 1.0.9
pynput                    == 1.7.6
pyparsing                 == 3.0.9
PyPDF2                    == 3.0.1
pyperclip                 == 1.8.2
PyRect                    == 0.2.0
PyScreeze                 == 0.1.28
PySocks                   == 1.7.1
pytest                    == 7.2.0
python-dateutil           == 2.8.2
python-dotenv             == 1.0.0
PythonTurtle              == 0.3.2
pytweening                == 1.0.4
pytz                      == 2022.6
pywin32-ctypes            == 0.2.2
regex                     == 2023.10.3
requests                  == 2.28.1
requests-file             == 1.5.1
rich                      == 13.6.0
scapy                     == 2.5.0
selenium                  == 4.13.0
setuptools                == 65.5.0
six                       == 1.16.0
sniffio                   == 1.3.0
socket.py                 == 0.1.0
sortedcontainers          == 2.4.0
soupsieve                 == 2.5
sqlmap                    == 1.7.11
sqlparse                  == 0.4.4
Sublist3r                 == 1.0
termcolor                 == 2.3.0
tiktoken                  == 0.5.1
tldextract                == 3.6.0
Tool-V1                   == 1.0
tqdm                      == 4.66.1
trio                      == 0.22.2
trio-websocket            == 0.11.1
tzdata                    == 2023.3
urllib3                   == 1.26.17
vboxapi                   == 1.0
vboxapi                   == 1.0
vboxapi                   == 1.0
Werkzeug                  == 2.2.2
wheel                     == 0.41.2
whichcraft                == 0.6.1
wsproto                   == 1.2.0
yarl                      == 1.9.2
youtube-dl                == 2021.12.17
zope.event                == 5.0
zope.interface            == 6.1
python-nmap               == 0.7.1
python-whois              == 0.8.0
